True Observation,Predicted Observation
cooking@kitchen_dining,laundry@laundry
toilet@bathroom,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
laundry@laundry,laundry@laundry
working@living_room,laundry@laundry
sleeping@bedroom2,laundry@laundry
eating@kitchen_dining,laundry@laundry
toilet@bathroom,laundry@laundry
exercise@living_room,cooking@kitchen_dining
eating@living_room,laundry@laundry
toilet@bathroom,laundry@laundry
exercise@living_room,laundry@laundry
sleeping@bedroom2,laundry@laundry
eating@kitchen_dining,toilet@bathroom
relaxing@garden,laundry@laundry
sleeping@bedroom2,laundry@laundry
sleeping@bedroom2,laundry@laundry
exercise@garden,laundry@laundry
watching@living_room,laundry@laundry
sleeping@bedroom1,laundry@laundry
cooking@kitchen_dining,laundry@laundry
relaxing@living_room,laundry@laundry
sleeping@bedroom1,laundry@laundry
eating@living_room,laundry@laundry
cleaning@bathroom,cooking@kitchen_dining
cleaning@kitchen_dining,cooking@kitchen_dining
cooking@kitchen_dining,laundry@laundry
working@living_room,laundry@laundry
eating@kitchen_dining,laundry@laundry
toilet@bathroom,laundry@laundry
laundry@laundry,laundry@laundry
watching@living_room,laundry@laundry
bathing@bathroom,toilet@bathroom
cleaning@kitchen_dining,cooking@kitchen_dining
laundry@laundry,laundry@laundry
laundry@laundry,laundry@laundry
laundry@laundry,laundry@laundry
bathing@bathroom,laundry@laundry
toilet@bathroom,laundry@laundry
bathing@bathroom,laundry@laundry
cooking@kitchen_dining,laundry@laundry
working@living_room,laundry@laundry
cooking@kitchen_dining,laundry@laundry
sleeping@bedroom1,laundry@laundry
working@living_room,laundry@laundry
cooking@kitchen_dining,laundry@laundry
working@living_room,laundry@laundry
sleeping@bedroom1,laundry@laundry
watching@living_room,laundry@laundry
exercise@garden,laundry@laundry
bathing@bathroom,laundry@laundry
cleaning@hall,laundry@laundry
sleeping@bedroom1,laundry@laundry
sleeping@bedroom2,laundry@laundry
cleaning@hall,laundry@laundry
exercise@living_room,laundry@laundry
working@bedroom2,laundry@laundry
laundry@laundry,laundry@laundry
toilet@bathroom,laundry@laundry
working@living_room,laundry@laundry
toilet@bathroom,laundry@laundry
sleeping@bedroom1,laundry@laundry
relaxing@garden,laundry@laundry
relaxing@garden,cooking@kitchen_dining
laundry@laundry,laundry@laundry
laundry@laundry,cooking@kitchen_dining
exercise@living_room,cooking@kitchen_dining
bathing@bathroom,laundry@laundry
watching@living_room,laundry@laundry
working@living_room,laundry@laundry
relaxing@living_room,laundry@laundry
sleeping@bedroom1,laundry@laundry
working@bedroom2,laundry@laundry
toilet@bathroom,toilet@bathroom
eating@kitchen_dining,laundry@laundry
cleaning@hall,laundry@laundry
exercise@living_room,laundry@laundry
laundry@laundry,laundry@laundry
eating@kitchen_dining,laundry@laundry
watching@bedroom2,laundry@laundry
watching@bedroom2,cooking@kitchen_dining
exercise@living_room,laundry@laundry
cleaning@hall,laundry@laundry
cleaning@kitchen_dining,laundry@laundry
eating@kitchen_dining,laundry@laundry
toilet@bathroom,laundry@laundry
watching@bedroom1,laundry@laundry
eating@kitchen_dining,laundry@laundry
cooking@kitchen_dining,laundry@laundry
cooking@kitchen_dining,laundry@laundry
eating@living_room,laundry@laundry
bathing@bathroom,laundry@laundry
toilet@bathroom,laundry@laundry
working@bedroom2,laundry@laundry
bathing@bathroom,cooking@kitchen_dining
bathing@bathroom,laundry@laundry
exercise@garden,laundry@laundry
cooking@kitchen_dining,laundry@laundry
sleeping@bedroom1,laundry@laundry
laundry@laundry,laundry@laundry
cooking@kitchen_dining,laundry@laundry
laundry@laundry,cooking@kitchen_dining
toilet@bathroom,cooking@kitchen_dining
bathing@bathroom,cooking@kitchen_dining
bathing@bathroom,laundry@laundry
relaxing@garden,cooking@kitchen_dining
cleaning@kitchen_dining,laundry@laundry
relaxing@living_room,laundry@laundry
bathing@bathroom,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
watching@bedroom2,laundry@laundry
cleaning@bathroom,laundry@laundry
relaxing@living_room,cooking@kitchen_dining
cleaning@hall,laundry@laundry
relaxing@living_room,laundry@laundry
relaxing@living_room,laundry@laundry
watching@living_room,laundry@laundry
relaxing@living_room,cooking@kitchen_dining
exercise@living_room,cooking@kitchen_dining
relaxing@living_room,toilet@bathroom
sleeping@bedroom1,laundry@laundry
working@living_room,cooking@kitchen_dining
exercise@living_room,laundry@laundry
exercise@living_room,cooking@kitchen_dining
eating@kitchen_dining,laundry@laundry
watching@living_room,laundry@laundry
cleaning@hall,cooking@kitchen_dining
cleaning@bathroom,laundry@laundry
exercise@garden,laundry@laundry
exercise@garden,cooking@kitchen_dining
working@bedroom2,laundry@laundry
laundry@laundry,laundry@laundry
exercise@garden,laundry@laundry
working@living_room,laundry@laundry
eating@kitchen_dining,laundry@laundry
working@living_room,laundry@laundry
toilet@bathroom,laundry@laundry
relaxing@living_room,laundry@laundry
watching@bedroom2,laundry@laundry
cooking@kitchen_dining,cooking@kitchen_dining
watching@bedroom2,laundry@laundry
working@living_room,laundry@laundry
laundry@laundry,laundry@laundry
eating@living_room,laundry@laundry
bathing@bathroom,laundry@laundry
cleaning@bathroom,laundry@laundry
cooking@kitchen_dining,cooking@kitchen_dining
cooking@kitchen_dining,laundry@laundry
working@living_room,cooking@kitchen_dining
exercise@garden,laundry@laundry
exercise@living_room,laundry@laundry
exercise@living_room,cooking@kitchen_dining
working@living_room,laundry@laundry
watching@living_room,laundry@laundry
cooking@kitchen_dining,laundry@laundry
bathing@bathroom,laundry@laundry
working@living_room,laundry@laundry
cooking@kitchen_dining,laundry@laundry
cooking@kitchen_dining,toilet@bathroom
bathing@bathroom,cooking@kitchen_dining
relaxing@living_room,laundry@laundry
eating@kitchen_dining,cooking@kitchen_dining
relaxing@garden,laundry@laundry
exercise@garden,laundry@laundry
laundry@laundry,laundry@laundry
watching@living_room,laundry@laundry
relaxing@living_room,laundry@laundry
bathing@bathroom,laundry@laundry
bathing@bathroom,laundry@laundry
watching@bedroom1,laundry@laundry
sleeping@bedroom2,laundry@laundry
bathing@bathroom,laundry@laundry
watching@living_room,laundry@laundry
toilet@bathroom,cooking@kitchen_dining
cooking@kitchen_dining,laundry@laundry
watching@living_room,cooking@kitchen_dining
watching@living_room,cooking@kitchen_dining
cleaning@hall,cooking@kitchen_dining
cleaning@kitchen_dining,laundry@laundry
working@living_room,laundry@laundry
cleaning@hall,laundry@laundry
sleeping@bedroom1,laundry@laundry
toilet@bathroom,cooking@kitchen_dining
cleaning@kitchen_dining,laundry@laundry
cooking@kitchen_dining,laundry@laundry
eating@kitchen_dining,laundry@laundry
bathing@bathroom,laundry@laundry
exercise@living_room,laundry@laundry
eating@living_room,cooking@kitchen_dining
exercise@garden,cooking@kitchen_dining
cooking@kitchen_dining,laundry@laundry
working@bedroom2,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
cleaning@kitchen_dining,cooking@kitchen_dining
eating@living_room,cooking@kitchen_dining
bathing@bathroom,laundry@laundry
cleaning@hall,laundry@laundry
exercise@garden,laundry@laundry
exercise@living_room,laundry@laundry
toilet@bathroom,laundry@laundry
watching@living_room,toilet@bathroom
cleaning@kitchen_dining,laundry@laundry
toilet@bathroom,cooking@kitchen_dining
sleeping@bedroom2,laundry@laundry
toilet@bathroom,laundry@laundry
eating@living_room,cooking@kitchen_dining
cleaning@bathroom,cooking@kitchen_dining
eating@living_room,laundry@laundry
working@living_room,laundry@laundry
cooking@kitchen_dining,laundry@laundry
exercise@living_room,laundry@laundry
eating@kitchen_dining,laundry@laundry
exercise@garden,cooking@kitchen_dining
exercise@living_room,laundry@laundry
toilet@bathroom,cooking@kitchen_dining
working@bedroom2,laundry@laundry
exercise@living_room,laundry@laundry
toilet@bathroom,laundry@laundry
working@bedroom2,laundry@laundry
relaxing@garden,cooking@kitchen_dining
cleaning@hall,toilet@bathroom
bathing@bathroom,laundry@laundry
cooking@kitchen_dining,laundry@laundry
exercise@garden,laundry@laundry
cleaning@hall,laundry@laundry
sleeping@bedroom1,laundry@laundry
sleeping@bedroom2,laundry@laundry
relaxing@garden,cooking@kitchen_dining
exercise@living_room,laundry@laundry
relaxing@garden,laundry@laundry
cooking@kitchen_dining,laundry@laundry
cooking@kitchen_dining,cooking@kitchen_dining
bathing@bathroom,toilet@bathroom
watching@bedroom1,cooking@kitchen_dining
cleaning@bathroom,laundry@laundry
watching@bedroom2,laundry@laundry
working@bedroom2,laundry@laundry
exercise@living_room,laundry@laundry
watching@bedroom1,laundry@laundry
laundry@laundry,laundry@laundry
working@living_room,laundry@laundry
eating@living_room,laundry@laundry
eating@living_room,laundry@laundry
cleaning@kitchen_dining,laundry@laundry
eating@kitchen_dining,cooking@kitchen_dining
relaxing@living_room,laundry@laundry
watching@bedroom2,laundry@laundry
exercise@living_room,laundry@laundry
toilet@bathroom,cooking@kitchen_dining
laundry@laundry,laundry@laundry
working@living_room,laundry@laundry
relaxing@living_room,cooking@kitchen_dining
cleaning@kitchen_dining,laundry@laundry
toilet@bathroom,laundry@laundry
bathing@bathroom,laundry@laundry
exercise@living_room,laundry@laundry
cleaning@kitchen_dining,laundry@laundry
eating@living_room,laundry@laundry
laundry@laundry,laundry@laundry
exercise@garden,cooking@kitchen_dining
laundry@laundry,laundry@laundry
relaxing@garden,laundry@laundry
working@living_room,laundry@laundry
exercise@garden,laundry@laundry
bathing@bathroom,cooking@kitchen_dining
cleaning@kitchen_dining,laundry@laundry
relaxing@garden,laundry@laundry
cleaning@bathroom,laundry@laundry
watching@living_room,laundry@laundry
relaxing@garden,laundry@laundry
bathing@bathroom,laundry@laundry
cooking@kitchen_dining,laundry@laundry
laundry@laundry,laundry@laundry
cooking@kitchen_dining,laundry@laundry
working@living_room,laundry@laundry
watching@bedroom1,laundry@laundry
toilet@bathroom,laundry@laundry
bathing@bathroom,cooking@kitchen_dining
eating@kitchen_dining,laundry@laundry
sleeping@bedroom2,cooking@kitchen_dining
sleeping@bedroom2,laundry@laundry
eating@living_room,laundry@laundry
relaxing@garden,cooking@kitchen_dining
bathing@bathroom,cooking@kitchen_dining
working@bedroom2,laundry@laundry
sleeping@bedroom2,laundry@laundry
bathing@bathroom,cooking@kitchen_dining
cooking@kitchen_dining,cooking@kitchen_dining
sleeping@bedroom1,laundry@laundry
exercise@garden,laundry@laundry
toilet@bathroom,laundry@laundry
laundry@laundry,laundry@laundry
eating@living_room,laundry@laundry
watching@living_room,laundry@laundry
exercise@garden,laundry@laundry
relaxing@garden,laundry@laundry
watching@bedroom1,laundry@laundry
watching@bedroom1,cooking@kitchen_dining
working@living_room,laundry@laundry
working@living_room,laundry@laundry
toilet@bathroom,cooking@kitchen_dining
watching@living_room,laundry@laundry
watching@living_room,cooking@kitchen_dining
cleaning@hall,laundry@laundry
watching@bedroom1,cooking@kitchen_dining
relaxing@living_room,laundry@laundry
watching@bedroom1,laundry@laundry
cooking@kitchen_dining,laundry@laundry
relaxing@living_room,laundry@laundry
eating@living_room,laundry@laundry
eating@kitchen_dining,laundry@laundry
cooking@kitchen_dining,laundry@laundry
working@living_room,laundry@laundry
bathing@bathroom,laundry@laundry
laundry@laundry,laundry@laundry
cooking@kitchen_dining,cooking@kitchen_dining
exercise@living_room,laundry@laundry
bathing@bathroom,laundry@laundry
watching@living_room,cooking@kitchen_dining
watching@bedroom2,laundry@laundry
sleeping@bedroom2,laundry@laundry
cleaning@kitchen_dining,laundry@laundry
working@bedroom2,cooking@kitchen_dining
exercise@living_room,laundry@laundry
working@bedroom2,laundry@laundry
working@living_room,cooking@kitchen_dining
laundry@laundry,laundry@laundry
watching@bedroom1,laundry@laundry
toilet@bathroom,laundry@laundry
toilet@bathroom,laundry@laundry
laundry@laundry,laundry@laundry
sleeping@bedroom1,laundry@laundry
laundry@laundry,laundry@laundry
watching@bedroom1,laundry@laundry
watching@living_room,laundry@laundry
exercise@living_room,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
watching@bedroom2,laundry@laundry
cooking@kitchen_dining,laundry@laundry
bathing@bathroom,laundry@laundry
sleeping@bedroom2,laundry@laundry
working@living_room,laundry@laundry
eating@living_room,toilet@bathroom
relaxing@garden,laundry@laundry
cooking@kitchen_dining,laundry@laundry
toilet@bathroom,laundry@laundry
eating@living_room,laundry@laundry
watching@bedroom1,laundry@laundry
bathing@bathroom,laundry@laundry
bathing@bathroom,laundry@laundry
eating@kitchen_dining,laundry@laundry
laundry@laundry,laundry@laundry
cooking@kitchen_dining,toilet@bathroom
watching@living_room,laundry@laundry
working@bedroom2,laundry@laundry
laundry@laundry,cooking@kitchen_dining
cooking@kitchen_dining,cooking@kitchen_dining
relaxing@living_room,laundry@laundry
sleeping@bedroom1,cooking@kitchen_dining
sleeping@bedroom2,laundry@laundry
sleeping@bedroom1,laundry@laundry
toilet@bathroom,laundry@laundry
toilet@bathroom,laundry@laundry
eating@living_room,laundry@laundry
exercise@living_room,laundry@laundry
sleeping@bedroom2,laundry@laundry
laundry@laundry,laundry@laundry
cleaning@kitchen_dining,laundry@laundry
sleeping@bedroom1,laundry@laundry
relaxing@garden,laundry@laundry
working@bedroom2,laundry@laundry
relaxing@living_room,laundry@laundry
laundry@laundry,laundry@laundry
eating@living_room,laundry@laundry
cooking@kitchen_dining,cooking@kitchen_dining
laundry@laundry,laundry@laundry
cleaning@bathroom,laundry@laundry
cleaning@bathroom,laundry@laundry
eating@living_room,laundry@laundry
working@living_room,laundry@laundry
bathing@bathroom,laundry@laundry
sleeping@bedroom1,laundry@laundry
working@living_room,cooking@kitchen_dining
laundry@laundry,cooking@kitchen_dining
bathing@bathroom,cooking@kitchen_dining
eating@kitchen_dining,laundry@laundry
exercise@living_room,laundry@laundry
sleeping@bedroom2,laundry@laundry
relaxing@living_room,laundry@laundry
working@living_room,laundry@laundry
watching@bedroom1,laundry@laundry
watching@bedroom1,laundry@laundry
sleeping@bedroom1,laundry@laundry
sleeping@bedroom1,laundry@laundry
relaxing@garden,laundry@laundry
cooking@kitchen_dining,laundry@laundry
working@bedroom2,laundry@laundry
eating@kitchen_dining,laundry@laundry
cooking@kitchen_dining,laundry@laundry
laundry@laundry,laundry@laundry
laundry@laundry,laundry@laundry
laundry@laundry,cooking@kitchen_dining
bathing@bathroom,laundry@laundry
relaxing@living_room,laundry@laundry
cooking@kitchen_dining,laundry@laundry
toilet@bathroom,laundry@laundry
laundry@laundry,laundry@laundry
sleeping@bedroom1,laundry@laundry
cleaning@bathroom,laundry@laundry
working@living_room,laundry@laundry
relaxing@garden,laundry@laundry
eating@kitchen_dining,laundry@laundry
watching@bedroom1,laundry@laundry
bathing@bathroom,laundry@laundry
eating@kitchen_dining,laundry@laundry
bathing@bathroom,cooking@kitchen_dining
cooking@kitchen_dining,laundry@laundry
watching@bedroom1,laundry@laundry
sleeping@bedroom1,laundry@laundry
laundry@laundry,laundry@laundry
cooking@kitchen_dining,cooking@kitchen_dining
cleaning@bathroom,laundry@laundry
toilet@bathroom,cooking@kitchen_dining
bathing@bathroom,toilet@bathroom
working@living_room,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
cleaning@hall,laundry@laundry
relaxing@garden,cooking@kitchen_dining
laundry@laundry,laundry@laundry
cooking@kitchen_dining,laundry@laundry
watching@bedroom2,laundry@laundry
toilet@bathroom,laundry@laundry
working@bedroom2,laundry@laundry
laundry@laundry,laundry@laundry
cleaning@hall,laundry@laundry
exercise@living_room,laundry@laundry
working@living_room,laundry@laundry
laundry@laundry,laundry@laundry
sleeping@bedroom1,cooking@kitchen_dining
laundry@laundry,laundry@laundry
laundry@laundry,laundry@laundry
laundry@laundry,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
working@bedroom2,laundry@laundry
toilet@bathroom,laundry@laundry
working@living_room,laundry@laundry
relaxing@garden,laundry@laundry
toilet@bathroom,laundry@laundry
working@living_room,cooking@kitchen_dining
bathing@bathroom,laundry@laundry
sleeping@bedroom2,cooking@kitchen_dining
working@living_room,laundry@laundry
relaxing@living_room,laundry@laundry
bathing@bathroom,laundry@laundry
eating@living_room,cooking@kitchen_dining
cleaning@hall,cooking@kitchen_dining
bathing@bathroom,laundry@laundry
watching@bedroom2,toilet@bathroom
cooking@kitchen_dining,cooking@kitchen_dining
cooking@kitchen_dining,laundry@laundry
bathing@bathroom,laundry@laundry
exercise@living_room,laundry@laundry
eating@kitchen_dining,laundry@laundry
toilet@bathroom,laundry@laundry
cooking@kitchen_dining,laundry@laundry
toilet@bathroom,laundry@laundry
working@living_room,laundry@laundry
working@bedroom2,laundry@laundry
cooking@kitchen_dining,laundry@laundry
laundry@laundry,laundry@laundry
eating@kitchen_dining,laundry@laundry
toilet@bathroom,laundry@laundry
watching@bedroom1,laundry@laundry
eating@kitchen_dining,laundry@laundry
exercise@garden,laundry@laundry
cleaning@kitchen_dining,cooking@kitchen_dining
eating@kitchen_dining,laundry@laundry
toilet@bathroom,laundry@laundry
relaxing@living_room,laundry@laundry
laundry@laundry,cooking@kitchen_dining
cleaning@bathroom,laundry@laundry
toilet@bathroom,laundry@laundry
working@living_room,laundry@laundry
eating@living_room,laundry@laundry
eating@living_room,laundry@laundry
cleaning@kitchen_dining,laundry@laundry
watching@bedroom1,laundry@laundry
cooking@kitchen_dining,laundry@laundry
laundry@laundry,laundry@laundry
toilet@bathroom,cooking@kitchen_dining
exercise@garden,cooking@kitchen_dining
sleeping@bedroom2,laundry@laundry
relaxing@living_room,laundry@laundry
toilet@bathroom,laundry@laundry
relaxing@garden,laundry@laundry
eating@kitchen_dining,laundry@laundry
working@bedroom2,laundry@laundry
toilet@bathroom,laundry@laundry
sleeping@bedroom1,laundry@laundry
watching@bedroom1,laundry@laundry
laundry@laundry,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
working@living_room,laundry@laundry
cooking@kitchen_dining,laundry@laundry
cleaning@hall,laundry@laundry
cooking@kitchen_dining,laundry@laundry
eating@kitchen_dining,laundry@laundry
exercise@living_room,laundry@laundry
eating@kitchen_dining,cooking@kitchen_dining
eating@living_room,laundry@laundry
relaxing@living_room,laundry@laundry
working@living_room,laundry@laundry
laundry@laundry,laundry@laundry
eating@living_room,laundry@laundry
cooking@kitchen_dining,cooking@kitchen_dining
watching@bedroom1,laundry@laundry
sleeping@bedroom1,laundry@laundry
eating@kitchen_dining,laundry@laundry
relaxing@living_room,laundry@laundry
laundry@laundry,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
bathing@bathroom,laundry@laundry
relaxing@garden,laundry@laundry
sleeping@bedroom2,cooking@kitchen_dining
cooking@kitchen_dining,laundry@laundry
eating@living_room,laundry@laundry
cooking@kitchen_dining,laundry@laundry
cleaning@hall,laundry@laundry
relaxing@living_room,cooking@kitchen_dining
eating@living_room,laundry@laundry
sleeping@bedroom2,laundry@laundry
exercise@living_room,laundry@laundry
exercise@living_room,laundry@laundry
working@living_room,laundry@laundry
eating@living_room,laundry@laundry
laundry@laundry,laundry@laundry
working@bedroom2,laundry@laundry
sleeping@bedroom2,cooking@kitchen_dining
cleaning@bathroom,laundry@laundry
working@bedroom2,cooking@kitchen_dining
sleeping@bedroom2,cooking@kitchen_dining
cleaning@kitchen_dining,cooking@kitchen_dining
exercise@living_room,laundry@laundry
cleaning@kitchen_dining,laundry@laundry
relaxing@living_room,laundry@laundry
toilet@bathroom,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
working@bedroom2,laundry@laundry
watching@bedroom1,laundry@laundry
laundry@laundry,laundry@laundry
cooking@kitchen_dining,laundry@laundry
eating@kitchen_dining,laundry@laundry
toilet@bathroom,toilet@bathroom
watching@bedroom2,laundry@laundry
relaxing@living_room,laundry@laundry
watching@living_room,laundry@laundry
working@bedroom2,laundry@laundry
eating@kitchen_dining,laundry@laundry
laundry@laundry,laundry@laundry
cooking@kitchen_dining,cooking@kitchen_dining
exercise@living_room,laundry@laundry
working@bedroom2,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
sleeping@bedroom1,laundry@laundry
eating@living_room,laundry@laundry
watching@bedroom2,laundry@laundry
cleaning@kitchen_dining,cooking@kitchen_dining
sleeping@bedroom2,laundry@laundry
relaxing@living_room,laundry@laundry
working@bedroom2,laundry@laundry
sleeping@bedroom2,laundry@laundry
cooking@kitchen_dining,laundry@laundry
watching@living_room,cooking@kitchen_dining
eating@living_room,laundry@laundry
cooking@kitchen_dining,laundry@laundry
working@bedroom2,laundry@laundry
cleaning@kitchen_dining,laundry@laundry
relaxing@living_room,laundry@laundry
bathing@bathroom,cooking@kitchen_dining
bathing@bathroom,laundry@laundry
watching@bedroom1,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
cooking@kitchen_dining,laundry@laundry
working@bedroom2,laundry@laundry
bathing@bathroom,laundry@laundry
relaxing@garden,laundry@laundry
cleaning@bathroom,cooking@kitchen_dining
bathing@bathroom,cooking@kitchen_dining
sleeping@bedroom1,laundry@laundry
working@bedroom2,laundry@laundry
eating@living_room,laundry@laundry
exercise@living_room,laundry@laundry
sleeping@bedroom1,laundry@laundry
watching@living_room,laundry@laundry
cooking@kitchen_dining,laundry@laundry
exercise@garden,laundry@laundry
working@bedroom2,laundry@laundry
eating@living_room,laundry@laundry
laundry@laundry,laundry@laundry
sleeping@bedroom1,laundry@laundry
cleaning@hall,laundry@laundry
cooking@kitchen_dining,laundry@laundry
eating@living_room,laundry@laundry
working@living_room,cooking@kitchen_dining
toilet@bathroom,laundry@laundry
sleeping@bedroom1,laundry@laundry
eating@living_room,laundry@laundry
exercise@garden,cooking@kitchen_dining
